# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-10-09 09:55:13 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06719505 CLEAR CREEK AT GOLDEN, CO
# -----------------------------------------------------------------------------------
#
# Data provided for site 06719505
#            TS   parameter     statistic     Description
#         17572       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	17572_00060_00003	17572_00060_00003_cd
USGS	06719505	2000-04-10	101	A
USGS	06719505	2000-04-11	110	A:e
USGS	06719505	2000-04-12	112	A:e
USGS	06719505	2000-04-13	114	A:e
USGS	06719505	2000-04-14	117	A:e
USGS	06719505	2000-04-15	119	A:e
USGS	06719505	2000-04-16	121	A:e
USGS	06719505	2000-04-17	123	A:e
USGS	06719505	2000-04-18	125	A
USGS	06719505	2000-04-19	132	A
USGS	06719505	2000-04-20	123	A
USGS	06719505	2000-04-21	129	A
USGS	06719505	2000-04-22	146	A
USGS	06719505	2000-04-23	166	A
USGS	06719505	2000-04-24	160	A
USGS	06719505	2000-04-25	146	A
USGS	06719505	2000-04-26	148	A
USGS	06719505	2000-04-27	164	A
USGS	06719505	2000-04-28	201	A
USGS	06719505	2000-04-29	221	A
USGS	06719505	2000-04-30	262	A
USGS	06719505	2000-05-01	228	A
USGS	06719505	2000-05-02	241	A
USGS	06719505	2000-05-03	282	A
USGS	06719505	2000-05-04	332	A
USGS	06719505	2000-05-05	409	A
USGS	06719505	2000-05-06	470	A
USGS	06719505	2000-05-07	500	A
USGS	06719505	2000-05-08	511	A
USGS	06719505	2000-05-09	439	A
USGS	06719505	2000-05-10	392	A
USGS	06719505	2000-05-11	440	A
USGS	06719505	2000-05-12	438	A
USGS	06719505	2000-05-13	377	A
USGS	06719505	2000-05-14	360	A
USGS	06719505	2000-05-15	351	A
USGS	06719505	2000-05-16	353	A
USGS	06719505	2000-05-17	403	A
USGS	06719505	2000-05-18	367	A
USGS	06719505	2000-05-19	343	A
USGS	06719505	2000-05-20	347	A
USGS	06719505	2000-05-21	329	A
USGS	06719505	2000-05-22	348	A
USGS	06719505	2000-05-23	436	A
USGS	06719505	2000-05-24	608	A
USGS	06719505	2000-05-25	681	A
USGS	06719505	2000-05-26	663	A
USGS	06719505	2000-05-27	592	A
USGS	06719505	2000-05-28	583	A
USGS	06719505	2000-05-29	742	A
USGS	06719505	2000-05-30	866	A
USGS	06719505	2000-05-31	900	A
USGS	06719505	2000-06-01	872	A
USGS	06719505	2000-06-02	834	A
USGS	06719505	2000-06-03	806	A
USGS	06719505	2000-06-04	808	A
USGS	06719505	2000-06-05	801	A
USGS	06719505	2000-06-06	779	A
USGS	06719505	2000-06-07	770	A
USGS	06719505	2000-06-08	757	A
USGS	06719505	2000-06-09	744	A
USGS	06719505	2000-06-10	713	A
USGS	06719505	2000-06-11	662	A
USGS	06719505	2000-06-12	620	A
USGS	06719505	2000-06-13	597	A
USGS	06719505	2000-06-14	534	A
USGS	06719505	2000-06-15	530	A
USGS	06719505	2000-06-16	538	A
USGS	06719505	2000-06-17	525	A
USGS	06719505	2000-06-18	473	A
USGS	06719505	2000-06-19	473	A
USGS	06719505	2000-06-20	558	A
USGS	06719505	2000-06-21	463	A
USGS	06719505	2000-06-22	436	A
USGS	06719505	2000-06-23	428	A
USGS	06719505	2000-06-24	408	A
USGS	06719505	2000-06-25	418	A
USGS	06719505	2000-06-26	446	A
USGS	06719505	2000-06-27	498	A
USGS	06719505	2000-06-28	435	A
USGS	06719505	2000-06-29	397	A
USGS	06719505	2000-06-30	383	A
USGS	06719505	2000-07-01	380	A
USGS	06719505	2000-07-02	372	A
USGS	06719505	2000-07-03	364	A
USGS	06719505	2000-07-04	341	A
USGS	06719505	2000-07-05	315	A
USGS	06719505	2000-07-06	299	A
USGS	06719505	2000-07-07	291	A
USGS	06719505	2000-07-08	277	A
USGS	06719505	2000-07-09	305	A
USGS	06719505	2000-07-10	339	A
USGS	06719505	2000-07-11	292	A
USGS	06719505	2000-07-12	276	A
USGS	06719505	2000-07-13	274	A
USGS	06719505	2000-07-14	252	A
USGS	06719505	2000-07-15	248	A
USGS	06719505	2000-07-16	262	A
USGS	06719505	2000-07-17	479	A
USGS	06719505	2000-07-18	392	A
USGS	06719505	2000-07-19	313	A
USGS	06719505	2000-07-20	278	A
USGS	06719505	2000-07-21	254	A
USGS	06719505	2000-07-22	236	A
USGS	06719505	2000-07-23	225	A
USGS	06719505	2000-07-24	204	A
USGS	06719505	2000-07-25	172	A
USGS	06719505	2000-07-26	180	A
USGS	06719505	2000-07-27	178	A
USGS	06719505	2000-07-28	177	A
USGS	06719505	2000-07-29	170	A
USGS	06719505	2000-07-30	156	A
USGS	06719505	2000-07-31	151	A
USGS	06719505	2000-08-01	170	A
USGS	06719505	2000-08-02	183	A
USGS	06719505	2000-08-03	168	A
USGS	06719505	2000-08-04	190	A
USGS	06719505	2000-08-05	169	A
USGS	06719505	2000-08-06	156	A
USGS	06719505	2000-08-07	153	A
USGS	06719505	2000-08-08	148	A
USGS	06719505	2000-08-09	140	A
USGS	06719505	2000-08-10	140	A
USGS	06719505	2000-08-11	140	A
USGS	06719505	2000-08-12	143	A
USGS	06719505	2000-08-13	152	A
USGS	06719505	2000-08-14	146	A
USGS	06719505	2000-08-15	140	A
USGS	06719505	2000-08-16	151	A
USGS	06719505	2000-08-17	164	A
USGS	06719505	2000-08-18	222	A
USGS	06719505	2000-08-19	183	A
USGS	06719505	2000-08-20	155	A
USGS	06719505	2000-08-21	155	A
USGS	06719505	2000-08-22	144	A
USGS	06719505	2000-08-23	145	A
USGS	06719505	2000-08-24	137	A
USGS	06719505	2000-08-25	154	A
USGS	06719505	2000-08-26	157	A
USGS	06719505	2000-08-27	172	A
USGS	06719505	2000-08-28	155	A
USGS	06719505	2000-08-29	208	A
USGS	06719505	2000-08-30	193	A
USGS	06719505	2000-08-31	183	A
USGS	06719505	2000-09-01	196	A
USGS	06719505	2000-09-02	174	A
USGS	06719505	2000-09-03	160	A
USGS	06719505	2000-09-04	153	A
USGS	06719505	2000-09-05	142	A
USGS	06719505	2000-09-06	148	A
USGS	06719505	2000-09-07	144	A
USGS	06719505	2000-09-08	136	A
USGS	06719505	2000-09-09	148	A
USGS	06719505	2000-09-10	137	A
USGS	06719505	2000-09-11	129	A
USGS	06719505	2000-09-12	125	A
USGS	06719505	2000-09-13	121	A
USGS	06719505	2000-09-14	117	A
USGS	06719505	2000-09-15	116	A
USGS	06719505	2000-09-16	109	A
USGS	06719505	2000-09-17	108	A
USGS	06719505	2000-09-18	106	A
USGS	06719505	2000-09-19	106	A
USGS	06719505	2000-09-20	128	A
USGS	06719505	2000-09-21	137	A
USGS	06719505	2000-09-22	182	A
USGS	06719505	2000-09-23	151	A
USGS	06719505	2000-09-24	161	A
USGS	06719505	2000-09-25	142	A
USGS	06719505	2000-09-26	136	A
USGS	06719505	2000-09-27	123	A
USGS	06719505	2000-09-28	117	A
USGS	06719505	2000-09-29	112	A
USGS	06719505	2000-09-30	114	A
USGS	06719505	2000-10-01	123	A
USGS	06719505	2000-10-02	116	A
USGS	06719505	2000-10-03	129	A
USGS	06719505	2000-10-04	137	A
USGS	06719505	2000-10-05	138	A
USGS	06719505	2000-10-06	132	A
USGS	06719505	2000-10-07	120	A
USGS	06719505	2000-10-08	116	A
USGS	06719505	2000-10-09	116	A
USGS	06719505	2000-10-10	114	A
USGS	06719505	2000-10-11	112	A
USGS	06719505	2000-10-12	106	A
USGS	06719505	2000-10-13	104	A
USGS	06719505	2000-10-14	92.0	A
USGS	06719505	2000-10-15	93.0	A
USGS	06719505	2000-10-16	93.0	A
USGS	06719505	2000-10-17	91.0	A
USGS	06719505	2000-10-18	91.0	A
USGS	06719505	2000-10-19	88.0	A
USGS	06719505	2000-10-20	88.0	A
USGS	06719505	2000-10-21	88.0	A
USGS	06719505	2000-10-22	90.0	A
USGS	06719505	2000-10-23	100	A
USGS	06719505	2000-10-24	96.0	A
USGS	06719505	2000-10-25	91.0	A
USGS	06719505	2000-10-26	86.1	A:e
USGS	06719505	2000-10-27	87.6	A:e
USGS	06719505	2000-10-28	89.8	A:e
USGS	06719505	2000-10-29	91.0	A:e
USGS	06719505	2000-10-30	85.7	A:e
USGS	06719505	2000-10-31	86.5	A:e
USGS	06719505	2000-11-01	86.5	A:e
USGS	06719505	2000-11-02	81.0	A:e
USGS	06719505	2000-11-03	78.0	A:e
USGS	06719505	2000-11-04	73.0	A:e
USGS	06719505	2000-11-05	79.4	A:e
USGS	06719505	2000-11-06	77.1	A:e
USGS	06719505	2000-11-07	70.6	A:e
USGS	06719505	2000-11-08	74.9	A:e
USGS	06719505	2000-11-09	77.1	A:e
USGS	06719505	2000-11-10	75.5	A:e
USGS	06719505	2000-11-11	74.9	A:e
USGS	06719505	2000-11-12	76.3	A:e
USGS	06719505	2000-11-13	77.1	A:e
USGS	06719505	2000-11-14	78.0	A:e
USGS	06719505	2000-11-15	79.0	A:e
USGS	06719505	2000-11-16	78.0	A:e
USGS	06719505	2000-11-17	77.0	A:e
USGS	06719505	2000-11-18	74.0	A:e
USGS	06719505	2000-11-19	76.0	A:e
USGS	06719505	2000-11-20	78.0	A:e
USGS	06719505	2000-11-21	85.0	A:e
USGS	06719505	2000-11-22	77.0	A:e
USGS	06719505	2000-11-23	76.0	A:e
USGS	06719505	2000-11-24	74.0	A:e
USGS	06719505	2000-11-25	71.0	A:e
USGS	06719505	2000-11-26	71.2	A:e
USGS	06719505	2000-11-27	70.8	A:e
USGS	06719505	2000-11-28	70.6	A:e
USGS	06719505	2000-11-29	70.6	A:e
USGS	06719505	2000-11-30	71.8	A:e
USGS	06719505	2000-12-01	71.0	A:e
USGS	06719505	2000-12-02	74.1	A:e
USGS	06719505	2000-12-03	74.1	A:e
USGS	06719505	2000-12-04	68.0	A:e
USGS	06719505	2000-12-05	60.0	A:e
USGS	06719505	2000-12-06	55.0	A:e
USGS	06719505	2000-12-07	50.0	A:e
USGS	06719505	2000-12-08	48.0	A:e
USGS	06719505	2000-12-09	50.0	A:e
USGS	06719505	2000-12-10	55.0	A:e
USGS	06719505	2000-12-11	60.0	A:e
USGS	06719505	2000-12-12	72.2	A:e
USGS	06719505	2000-12-13	73.5	A:e
USGS	06719505	2000-12-14	79.6	A:e
USGS	06719505	2000-12-15	73.9	A:e
USGS	06719505	2000-12-16	67.7	A:e
USGS	06719505	2000-12-17	69.0	A:e
USGS	06719505	2000-12-18	70.0	A:e
USGS	06719505	2000-12-19	70.0	A:e
USGS	06719505	2000-12-20	68.0	A:e
USGS	06719505	2000-12-21	72.0	A:e
USGS	06719505	2000-12-22	70.0	A:e
USGS	06719505	2000-12-23	69.0	A:e
USGS	06719505	2000-12-24	68.0	A:e
USGS	06719505	2000-12-25	67.0	A:e
USGS	06719505	2000-12-26	66.0	A:e
USGS	06719505	2000-12-27	65.0	A:e
USGS	06719505	2000-12-28	67.0	A:e
USGS	06719505	2000-12-29	64.0	A:e
USGS	06719505	2000-12-30	63.0	A:e
USGS	06719505	2000-12-31	63.0	A:e
USGS	06719505	2001-01-01	63.0	A:e
USGS	06719505	2001-01-02	63.0	A:e
USGS	06719505	2001-01-03	62.0	A:e
USGS	06719505	2001-01-04	64.0	A:e
USGS	06719505	2001-01-05	63.0	A:e
USGS	06719505	2001-01-06	63.0	A:e
USGS	06719505	2001-01-07	62.0	A:e
USGS	06719505	2001-01-08	62.0	A:e
USGS	06719505	2001-01-09	61.2	A:e
USGS	06719505	2001-01-10	64.1	A:e
USGS	06719505	2001-01-11	65.3	A:e
USGS	06719505	2001-01-12	64.3	A:e
USGS	06719505	2001-01-13	62.7	A:e
USGS	06719505	2001-01-14	62.6	A:e
USGS	06719505	2001-01-15	60.8	A:e
USGS	06719505	2001-01-16	59.4	A:e
USGS	06719505	2001-01-17	56.2	A:e
USGS	06719505	2001-01-18	61.0	A:e
USGS	06719505	2001-01-19	62.6	A:e
USGS	06719505	2001-01-20	59.8	A:e
USGS	06719505	2001-01-21	59.8	A:e
USGS	06719505	2001-01-22	64.1	A:e
USGS	06719505	2001-01-23	66.9	A:e
USGS	06719505	2001-01-24	69.8	A:e
USGS	06719505	2001-01-25	69.0	A:e
USGS	06719505	2001-01-26	68.4	A:e
USGS	06719505	2001-01-27	67.3	A:e
USGS	06719505	2001-01-28	66.5	A:e
USGS	06719505	2001-01-29	65.3	A:e
USGS	06719505	2001-01-30	63.7	A:e
USGS	06719505	2001-01-31	62.0	A:e
USGS	06719505	2001-02-01	60.0	A:e
USGS	06719505	2001-02-02	59.0	A:e
USGS	06719505	2001-02-03	61.0	A:e
USGS	06719505	2001-02-04	66.0	A:e
USGS	06719505	2001-02-05	65.0	A:e
USGS	06719505	2001-02-06	66.0	A:e
USGS	06719505	2001-02-07	65.0	A:e
USGS	06719505	2001-02-08	64.0	A:e
USGS	06719505	2001-02-09	62.0	A:e
USGS	06719505	2001-02-10	60.0	A:e
USGS	06719505	2001-02-11	60.0	A:e
USGS	06719505	2001-02-12	59.0	A:e
USGS	06719505	2001-02-13	58.0	A:e
USGS	06719505	2001-02-14	58.0	A:e
USGS	06719505	2001-02-15	56.0	A:e
USGS	06719505	2001-02-16	53.0	A:e
USGS	06719505	2001-02-17	50.0	A:e
USGS	06719505	2001-02-18	49.0	A:e
USGS	06719505	2001-02-19	48.0	A:e
USGS	06719505	2001-02-20	47.0	A:e
USGS	06719505	2001-02-21	46.0	A:e
USGS	06719505	2001-02-22	43.0	A:e
USGS	06719505	2001-02-23	45.0	A:e
USGS	06719505	2001-02-24	46.0	A
USGS	06719505	2001-02-25	44.0	A
USGS	06719505	2001-02-26	45.0	A
USGS	06719505	2001-02-27	44.0	A
USGS	06719505	2001-02-28	45.0	A
USGS	06719505	2001-03-01	49.0	A
USGS	06719505	2001-03-02	45.0	A
USGS	06719505	2001-03-03	44.0	A
USGS	06719505	2001-03-04	45.0	A
USGS	06719505	2001-03-05	45.0	A
USGS	06719505	2001-03-06	46.0	A
USGS	06719505	2001-03-07	47.0	A
USGS	06719505	2001-03-08	48.0	A
USGS	06719505	2001-03-09	50.0	A
USGS	06719505	2001-03-10	52.0	A
USGS	06719505	2001-03-11	49.0	A
USGS	06719505	2001-03-12	49.0	A
USGS	06719505	2001-03-13	47.0	A
USGS	06719505	2001-03-14	48.0	A
USGS	06719505	2001-03-15	43.0	A
USGS	06719505	2001-03-16	46.0	A
USGS	06719505	2001-03-17	52.0	A
USGS	06719505	2001-03-18	48.0	A
USGS	06719505	2001-03-19	49.0	A
USGS	06719505	2001-03-20	50.0	A
USGS	06719505	2001-03-21	54.0	A
USGS	06719505	2001-03-22	59.0	A
USGS	06719505	2001-03-23	61.0	A
USGS	06719505	2001-03-24	61.0	A
USGS	06719505	2001-03-25	60.0	A
USGS	06719505	2001-03-26	65.0	A
USGS	06719505	2001-03-27	64.0	A
USGS	06719505	2001-03-28	55.0	A
USGS	06719505	2001-03-29	54.0	A
USGS	06719505	2001-03-30	54.0	A
USGS	06719505	2001-03-31	56.0	A
USGS	06719505	2001-04-01	56.0	A
USGS	06719505	2001-04-02	58.0	A
USGS	06719505	2001-04-03	60.0	A
USGS	06719505	2001-04-04	60.0	A
USGS	06719505	2001-04-05	66.0	A
USGS	06719505	2001-04-06	63.0	A
USGS	06719505	2001-04-07	56.0	A
USGS	06719505	2001-04-08	54.0	A
USGS	06719505	2001-04-09	53.0	A
USGS	06719505	2001-04-10	57.0	A
USGS	06719505	2001-04-11	68.0	A
USGS	06719505	2001-04-12	63.0	A
USGS	06719505	2001-04-13	56.0	A
USGS	06719505	2001-04-14	57.0	A
USGS	06719505	2001-04-15	58.0	A
USGS	06719505	2001-04-16	59.0	A
USGS	06719505	2001-04-17	61.0	A
USGS	06719505	2001-04-18	72.0	A
USGS	06719505	2001-04-19	82.0	A
USGS	06719505	2001-04-20	94.0	A
USGS	06719505	2001-04-21	83.0	A
USGS	06719505	2001-04-22	100	A
USGS	06719505	2001-04-23	85.0	A
USGS	06719505	2001-04-24	84.0	A
USGS	06719505	2001-04-25	90.0	A
USGS	06719505	2001-04-26	102	A
USGS	06719505	2001-04-27	111	A
USGS	06719505	2001-04-28	121	A
USGS	06719505	2001-04-29	141	A
USGS	06719505	2001-04-30	165	A
USGS	06719505	2001-05-01	173	A
USGS	06719505	2001-05-02	221	A
USGS	06719505	2001-05-03	190	A
USGS	06719505	2001-05-04	173	A
USGS	06719505	2001-05-05	181	A
USGS	06719505	2001-05-06	169	A
USGS	06719505	2001-05-07	163	A
USGS	06719505	2001-05-08	163	A
USGS	06719505	2001-05-09	191	A
USGS	06719505	2001-05-10	210	A
USGS	06719505	2001-05-11	241	A
USGS	06719505	2001-05-12	280	A
USGS	06719505	2001-05-13	342	A
USGS	06719505	2001-05-14	410	A
USGS	06719505	2001-05-15	483	A
USGS	06719505	2001-05-16	507	A
USGS	06719505	2001-05-17	529	A
USGS	06719505	2001-05-18	511	A
USGS	06719505	2001-05-19	511	A
USGS	06719505	2001-05-20	508	A
USGS	06719505	2001-05-21	499	A
USGS	06719505	2001-05-22	431	A
USGS	06719505	2001-05-23	411	A
USGS	06719505	2001-05-24	431	A
USGS	06719505	2001-05-25	455	A
USGS	06719505	2001-05-26	489	A
USGS	06719505	2001-05-27	527	A
USGS	06719505	2001-05-28	580	A
USGS	06719505	2001-05-29	557	A
USGS	06719505	2001-05-30	557	A
USGS	06719505	2001-05-31	558	A
USGS	06719505	2001-06-01	593	A
USGS	06719505	2001-06-02	653	A
USGS	06719505	2001-06-03	679	A
USGS	06719505	2001-06-04	670	A
USGS	06719505	2001-06-05	603	A
USGS	06719505	2001-06-06	598	A
USGS	06719505	2001-06-07	644	A
USGS	06719505	2001-06-08	670	A
USGS	06719505	2001-06-09	675	A
USGS	06719505	2001-06-10	627	A
USGS	06719505	2001-06-11	640	A
USGS	06719505	2001-06-12	631	A
USGS	06719505	2001-06-13	601	A
USGS	06719505	2001-06-14	531	A
USGS	06719505	2001-06-15	476	A
USGS	06719505	2001-06-16	448	A
USGS	06719505	2001-06-17	437	A
USGS	06719505	2001-06-18	441	A
USGS	06719505	2001-06-19	461	A
USGS	06719505	2001-06-20	483	A
USGS	06719505	2001-06-21	480	A
USGS	06719505	2001-06-22	491	A
USGS	06719505	2001-06-23	480	A
USGS	06719505	2001-06-24	476	A
USGS	06719505	2001-06-25	503	A
USGS	06719505	2001-06-26	519	A
USGS	06719505	2001-06-27	521	A
USGS	06719505	2001-06-28	475	A
USGS	06719505	2001-06-29	461	A
USGS	06719505	2001-06-30	446	A
USGS	06719505	2001-07-01	427	A
USGS	06719505	2001-07-02	410	A
USGS	06719505	2001-07-03	388	A
USGS	06719505	2001-07-04	379	A
USGS	06719505	2001-07-05	360	A
USGS	06719505	2001-07-06	364	A
USGS	06719505	2001-07-07	406	A
USGS	06719505	2001-07-08	438	A
USGS	06719505	2001-07-09	551	A
USGS	06719505	2001-07-10	428	A
USGS	06719505	2001-07-11	491	A
USGS	06719505	2001-07-12	428	A
USGS	06719505	2001-07-13	481	A
USGS	06719505	2001-07-14	582	A
USGS	06719505	2001-07-15	489	A
USGS	06719505	2001-07-16	445	A
USGS	06719505	2001-07-17	395	A
USGS	06719505	2001-07-18	363	A
USGS	06719505	2001-07-19	350	A
USGS	06719505	2001-07-20	336	A
USGS	06719505	2001-07-21	322	A
USGS	06719505	2001-07-22	310	A
USGS	06719505	2001-07-23	288	A
USGS	06719505	2001-07-24	297	A
USGS	06719505	2001-07-25	273	A
USGS	06719505	2001-07-26	235	A
USGS	06719505	2001-07-27	229	A
USGS	06719505	2001-07-28	202	A
USGS	06719505	2001-07-29	185	A
USGS	06719505	2001-07-30	174	A
USGS	06719505	2001-07-31	176	A
USGS	06719505	2001-08-01	174	A
USGS	06719505	2001-08-02	215	A
USGS	06719505	2001-08-03	203	A
USGS	06719505	2001-08-04	175	A
USGS	06719505	2001-08-05	167	A
USGS	06719505	2001-08-06	173	A
USGS	06719505	2001-08-07	196	A
USGS	06719505	2001-08-08	169	A
USGS	06719505	2001-08-09	216	A
USGS	06719505	2001-08-10	183	A
USGS	06719505	2001-08-11	170	A
USGS	06719505	2001-08-12	155	A
USGS	06719505	2001-08-13	162	A
USGS	06719505	2001-08-14	193	A
USGS	06719505	2001-08-15	208	A
USGS	06719505	2001-08-16	193	A
USGS	06719505	2001-08-17	173	A
USGS	06719505	2001-08-18	153	A
USGS	06719505	2001-08-19	141	A
USGS	06719505	2001-08-20	139	A
USGS	06719505	2001-08-21	153	A
USGS	06719505	2001-08-22	149	A
USGS	06719505	2001-08-23	162	A
USGS	06719505	2001-08-24	143	A
USGS	06719505	2001-08-25	139	A
USGS	06719505	2001-08-26	134	A
USGS	06719505	2001-08-27	133	A
USGS	06719505	2001-08-28	136	A
USGS	06719505	2001-08-29	127	A
USGS	06719505	2001-08-30	125	A
USGS	06719505	2001-08-31	144	A
USGS	06719505	2001-09-01	153	A
USGS	06719505	2001-09-02	141	A
USGS	06719505	2001-09-03	133	A
USGS	06719505	2001-09-04	122	A
USGS	06719505	2001-09-05	117	A
USGS	06719505	2001-09-06	126	A
USGS	06719505	2001-09-07	137	A
USGS	06719505	2001-09-08	162	A
USGS	06719505	2001-09-09	159	A
USGS	06719505	2001-09-10	161	A
USGS	06719505	2001-09-11	132	A
USGS	06719505	2001-09-12	118	A
USGS	06719505	2001-09-13	112	A
USGS	06719505	2001-09-14	166	A
USGS	06719505	2001-09-15	132	A
USGS	06719505	2001-09-16	124	A
USGS	06719505	2001-09-17	123	A
USGS	06719505	2001-09-18	137	A
USGS	06719505	2001-09-19	124	A
USGS	06719505	2001-09-20	113	A
USGS	06719505	2001-09-21	113	A
USGS	06719505	2001-09-22	122	A
